,STATES,LAT,LONG,POPULATION,AREA(KM2),DENSITY,PROPERTYCRIME,VIOLENTCRIME,TOTALCRIME,UNEMPLOYMENT
0,Johor,2.072120,103.248422,2638559,19166,137.67,13471,2744,16215,3.28
1,Kedah,6.1184,100.3685,1604205,9500,168.86,5967,771,6738,3.9
2,Kelantan,6.125397,102.238068,1338218,17100,78.26,2932,353,3286,4.02
3,Melaka,2.1944,102.2491,650578,1664,390.97,2897,437,3335,2.96
4,Negeri Sembilan,2.7258,101.9424,838762,6686,125.45,3740,757,4498,3.68
5,Pahang,3.655303,102.582484,1232037,35965,34.26,3386,460,3846,3.29
6,Penang,5.4164,100.3327,1308481,1048,1248.55,8609,1377,9986,2.76
7,Perak,4.5921,101.0901,2130940,20976,101.59,8236,1409,9646,4.32
8,Perlis,6.443589,100.216599,203267,819,248.19,453,66,520,3.79
9,Sabah,4.908362,114.394716,2393278,73631,32.50,4268,761,5029,5.79
10,Sarawak,2.605383,111.046554,2011116,124450,16.16,6447,618,7065,5.29
11,Selangor,3.241074,101.522088,3754218,8104,463.25,24793,5009,29803,2.82
12,Terengganu,5.3117,103.1324,878218,13035,67.37,2448,227,2676,4.8
